Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2017,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"10,893,000,000",
SURVEY,2017,YEAR,,STATE,RHODE ISLAND,44,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"13,000,000",
SURVEY,2017,YEAR,,STATE,SOUTH CAROLINA,45,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"248,000,000",
SURVEY,2017,YEAR,,STATE,SOUTH DAKOTA,46,,,,,,,0,,CHEESE,"CHEESE - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"282,304,000",
SURVEY,2017,YEAR,,STATE,SOUTH DAKOTA,46,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"2,618,000,000",
SURVEY,2017,YEAR,,STATE,TENNESSEE,47,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"693,000,000",
SURVEY,2017,YEAR,,STATE,TEXAS,48,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"12,054,000,000",
SURVEY,2017,YEAR,,STATE,UTAH,49,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"2,215,000,000",
SURVEY,2017,YEAR,,STATE,VERMONT,50,,,,,,,0,,CHEESE,"CHEESE - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"142,941,000",
SURVEY,2017,YEAR,,STATE,VERMONT,50,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"2,729,000,000",
SURVEY,2017,YEAR,,STATE,VIRGINIA,51,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"1,736,000,000",
SURVEY,2017,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"6,531,000,000",
SURVEY,2017,YEAR,,STATE,WEST VIRGINIA,54,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"127,000,000",
SURVEY,2017,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,CHEESE,"CHEESE - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"3,376,769,000",
SURVEY,2017,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"30,333,000,000",
SURVEY,2017,YEAR,,STATE,WYOMING,56,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"138,200,000",
